Year,Red Day Date
2016-2017,20/12/2016
2016-2017,03/01/2017
2016-2017,04/01/2017
2016-2017,05/01/2017
2016-2017,06/01/2017
2016-2017,09/01/2017
2016-2017,16/01/2017
2016-2017,17/01/2017
2016-2017,18/01/2017
2016-2017,19/01/2017
2016-2017,20/01/2017
2016-2017,23/01/2017
2016-2017,24/01/2017
2016-2017,25/01/2017
2016-2017,26/01/2017
2016-2017,10/02/2017
2016-2017,02/03/2017
2016-2017,03/03/2017
2016-2017,22/03/2017
2016-2017,23/03/2017
2016-2017,24/03/2017
2016-2017,27/03/2017
2017-2018,09/11/2017
2017-2018,29/11/2017
2017-2018,04/12/2017
2017-2018,05/12/2017
2017-2018,06/12/2017
2017-2018,12/12/2017
2017-2018,19/12/2017
2017-2018,20/12/2017
2017-2018,05/02/2018
2017-2018,06/02/2018
2017-2018,07/02/2018
2017-2018,08/02/2018
2017-2018,09/02/2018
2017-2018,12/02/2018
2017-2018,13/02/2018
2017-2018,14/02/2018
2017-2018,23/02/2018
2017-2018,26/02/2018
2017-2018,27/02/2018
2017-2018,28/02/2018
2017-2018,01/03/2018
2017-2018,02/03/2018
2018-2019,20/11/2018
2018-2019,21/11/2018
2018-2019,22/11/2018
2018-2019,11/01/2019
2018-2019,21/01/2019
2018-2019,22/01/2019
2018-2019,23/01/2019
2018-2019,24/01/2019
2018-2019,25/01/2019
2018-2019,29/01/2019
2018-2019,30/01/2019
2018-2019,26/02/2019
2018-2019,01/03/2019
2018-2019,11/03/2019
2018-2019,19/03/2019
2018-2019,20/03/2019
2018-2019,21/03/2019
2018-2019,22/03/2019
2018-2019,26/03/2019
2018-2019,27/03/2019
2018-2019,28/03/2019
2018-2019,29/03/2019
2019-2020,04/12/2019
2019-2020,05/12/2019
2019-2020,20/12/2019
2019-2020,20/01/2020
2019-2020,21/01/2020
2019-2020,22/01/2020
2019-2020,23/01/2020
2019-2020,24/01/2020
2019-2020,06/02/2020
2019-2020,27/02/2020
2019-2020,02/03/2020
2019-2020,03/03/2020
2019-2020,04/03/2020
2019-2020,05/03/2020
2019-2020,09/03/2020
2020-2021,30/11/2020
2020-2021,01/12/2020
2020-2021,02/12/2020
2020-2021,03/12/2020
2020-2021,04/12/2020
2020-2021,07/12/2020
2020-2021,08/12/2020
2020-2021,09/12/2020
2020-2021,10/12/2020
2020-2021,18/12/2020
2020-2021,04/01/2021
2020-2021,05/01/2021
2020-2021,06/01/2021
2020-2021,07/01/2021
2020-2021,08/01/2021
2020-2021,11/01/2021
2020-2021,26/01/2021
2020-2021,11/02/2021
2020-2021,12/02/2021
2020-2021,17/03/2021
2020-2021,18/03/2021
2020-2021,23/03/2021
2021-2022,29/11/2021
2021-2022,12/01/2022
2021-2022,13/01/2022
2021-2022,14/01/2022
2021-2022,17/01/2022
2021-2022,18/01/2022
2021-2022,19/01/2022
2021-2022,25/01/2022
2021-2022,26/01/2022
2021-2022,27/01/2022
2021-2022,28/02/2022
2021-2022,01/03/2022
2021-2022,02/03/2022
2021-2022,03/03/2022
2021-2022,07/03/2022
2021-2022,08/03/2022
2021-2022,15/03/2022
2021-2022,22/03/2022
2021-2022,23/03/2022
2021-2022,29/03/2022
2021-2022,30/03/2022
2021-2022,31/03/2022
2022-2023,08/12/2022
2022-2023,12/12/2022
2022-2023,13/12/2022
2022-2023,14/12/2022
2022-2023,19/01/2023
2022-2023,20/01/2023
2022-2023,23/01/2023
2022-2023,24/01/2023
2022-2023,25/01/2023
2022-2023,27/01/2023
2022-2023,07/02/2023
2022-2023,09/02/2023
2022-2023,10/02/2023
2022-2023,28/02/2023
2022-2023,01/03/2023
2022-2023,02/03/2023
2022-2023,03/03/2023
2022-2023,06/03/2023
2022-2023,07/03/2023
2022-2023,08/03/2023
2022-2023,09/03/2023
2022-2023,15/03/2023
2023-2024,29/11/2023
2023-2024,30/11/2023
2023-2024,01/12/2023
2023-2024,06/12/2023
2023-2024,18/12/2023
2023-2024,20/12/2023
2023-2024,08/01/2024
2023-2024,09/01/2024
2023-2024,10/01/2024
2023-2024,11/01/2024
2023-2024,12/01/2024
2023-2024,15/01/2024
2023-2024,16/01/2024
2023-2024,19/01/2024
2023-2024,26/02/2024
2023-2024,27/02/2024
2023-2024,28/02/2024
2023-2024,04/03/2024
2023-2024,05/03/2024
2023-2024,06/03/2024
2023-2024,07/03/2024
2023-2024,11/03/2024
